Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Action,Eidos Interactive,549871,164339.0,33.43000000000002,23.400000000000013,3.409999999999999,5.409999999999994,65.59999999999995
Action,Electronic Arts,1079524,365298.0,54.24999999999999,44.070000000000014,2.4899999999999984,14.729999999999968,115.53999999999998
Action,Electronic Arts Victor,13480,1996.0,0.02,0.02,0.0,0.0,0.04
Action,Empire Interactive,50878,10032.0,0.35000000000000003,0.24,0.0,0.09999999999999999,0.69
Action,Encore,14465,2001.0,0.02,0.01,0.0,0.0,0.03
Action,Enix Corporation,12079,2002.0,0.03,0.03,0.0,0.01,0.07
Action,Epic Games,16263,2016.0,0.01,0.0,0.0,0.0,0.01
Action,Essential Games,15811,2006.0,0.0,0.0,0.02,0.0,0.02
Action,Evolution Games,12087,1998.0,0.0,0.0,0.06,0.0,0.07
Action,Excalibur Publishing,9128,2012.0,0.0,0.12,0.0,0.02,0.14
Action,Flashpoint Games,13923,2005.0,0.03,0.01,0.0,0.0,0.04
Action,Focus Home Interactive,16277,2015.0,0.0,0.01,0.0,0.0,0.01
Action,Fox Interactive,4070,1999.0,0.27,0.18,0.0,0.03,0.49
Action,From Software,45692,6024.0,0.04,0.0,0.02,0.0,0.07
Action,FuRyu,148386,22151.0,0.0,0.0,0.51,0.0,0.51
Action,FuRyu Corporation,14760,2015.0,0.02,0.0,0.0,0.01,0.03
Action,Funbox Media,42133,6034.0,0.04,0.060000000000000005,0.0,0.01,0.11
Action,GT Interactive,63762,19979.0,4.85,3.569999999999999,0.02,0.43000000000000005,8.88
Action,Game Factory,107948,16052.0,0.29000000000000004,0.04,0.0,0.01,0.3600000000000001
Action,GameMill Entertainment,33105,6035.0,0.25,0.04,0.0,0.02,0.3
Action,Gamebridge,11273,4017.0,0.3,0.13,0.24,0.06,0.73
Action,Gamecock,12223,2008.0,0.06,0.0,0.0,0.0,0.07
Action,Genki,25451,4013.0,0.05,0.01,0.05,0.0,0.11
Action,Giza10,15825,2012.0,0.0,0.0,0.02,0.0,0.02
Action,Global Star,10092,2005.0,0.08,0.02,0.0,0.0,0.11
Action,Gremlin Interactive Ltd,8377,1996.0,0.09,0.06,0.0,0.01,0.17
Action,GungHo,23945,4028.0,0.0,0.0,0.21000000000000002,0.0,0.21000000000000002
Action,Hamster Corporation,6152,2002.0,0.16,0.11,0.0,0.02,0.28
Action,Hasbro Interactive,1626,3996.0,4.59,0.81,0.0,0.2,5.59
Action,Hello Games,1158,2016.0,0.58,0.74,0.02,0.26,1.6
Action,Hip Interactive,46786,8018.0,0.22999999999999998,0.07999999999999999,0.0,0.0,0.33
Action,Hudson Soft,66799,12021.0,0.0,0.0,1.4200000000000002,0.0,1.4200000000000002
Action,HuneX,16502,2015.0,0.0,0.0,0.01,0.0,0.01
Action,IE Institute,15546,2012.0,0.0,0.0,0.02,0.0,0.02
Action,ITT Family Games,5383,1982.0,0.32,0.02,0.0,0.0,0.34
Action,Idea Factory,427002,56383.0,0.0,0.0,0.6400000000000003,0.0,0.6400000000000003
Action,Idea Factory International,39250,8057.0,0.21000000000000002,0.08,0.11,0.09000000000000001,0.5
Action,Ignition Entertainment,47353,8037.0,0.46,0.12000000000000001,0.11,0.05,0.76
Action,Illusion Softworks,2933,2004.0,0.34,0.27,0.0,0.09,0.7
Action,Imagic,5129,1981.0,0.35,0.02,0.0,0.0,0.37
Action,Infogrames,53822,9994.0,0.45000000000000007,0.28,0.0,0.03,0.77
Action,Insomniac Games,41924,6048.0,0.1,0.0,0.0,0.01,0.12000000000000001
Action,Interplay,48165,11998.0,0.8400000000000001,0.42999999999999994,0.0,0.10999999999999999,1.3800000000000001
Action,Inti Creates,16475,2016.0,0.0,0.0,0.01,0.0,0.01
Action,Introversion Software,15085,2016.0,0.01,0.01,0.0,0.0,0.02
Action,Irem Software Engineering,39748,6029.0,0.06,0.0,0.09000000000000001,0.01,0.16
Action,JVC,12384,2000.0,0.03,0.02,0.0,0.0,0.06
Action,Jaleco,23964,4000.0,0.06,0.03,0.04,0.01,0.15000000000000002
Action,JoWood Productions,38961,6025.0,0.09,0.06,0.0,0.01,0.15
Action,Kadokawa Games,69674,10076.0,0.0,0.0,0.27,0.0,0.27
Action,Kadokawa Shoten,27097,4017.0,0.0,0.0,0.09000000000000001,0.0,0.09000000000000001
Action,Kaga Create,45046,6045.0,0.0,0.0,0.06999999999999999,0.0,0.06999999999999999
Action,Kalypso Media,36995,6031.0,0.12,0.07,0.0,0.02,0.21
Action,Kemco,65804,12014.0,0.41000000000000003,0.18,0.0,0.03,0.63
Action,Knowledge Adventure,6937,2003.0,0.17,0.06,0.0,0.0,0.24
Action,Koch Media,11692,8032.0,1.74,0.5900000000000001,0.0,0.5900000000000001,2.92
Action,Konami Digital Entertainment,1220294,287101.0,30.470000000000013,19.600000000000005,12.51999999999999,8.619999999999983,71.33000000000004
Action,LEGO Media,16198,1999.0,0.0,0.01,0.0,0.0,0.01
Action,LSP Games,14253,2002.0,0.02,0.01,0.0,0.0,0.03
Action,Laguna,5291,1995.0,0.04,0.01,0.3,0.0,0.35
Action,Level 5,30419,12080.0,0.0,0.0,4.839999999999999,0.0,4.839999999999999
Action,Licensed 4U,29799,4024.0,0.0,0.04,0.0,0.0,0.05
Action,Little Orbit,222783,34249.0,0.16,0.6600000000000001,0.0,0.07,0.9200000000000004
Action,LucasArts,161924,94362.0,35.61,18.310000000000002,0.060000000000000005,8.01,62.01999999999999
Action,MTO,46137,6021.0,0.0,0.0,0.060000000000000005,0.0,0.060000000000000005
Action,Majesco Entertainment,148150,30107.0,2.0100000000000002,0.8,0.0,0.13999999999999999,2.9499999999999993
Action,Marvel Entertainment,13027,2015.0,0.0,0.0,0.05,0.0,0.05
Action,Marvelous Entertainment,60824,12081.0,0.5,0.2,0.65,0.060000000000000005,1.4000000000000004
Action,Marvelous Interactive,126092,20102.0,0.13,0.05,0.57,0.05,0.8
Action,Mattel Interactive,22557,7924.0,1.4,0.08,0.0,0.01,1.51
Action,Maximum Family Games,14170,2012.0,0.03,0.0,0.0,0.0,0.03
Action,Men-A-Vision,2666,1981.0,0.72,0.04,0.0,0.01,0.77
Action,Microids,40273,6009.0,0.1,0.04,0.0,0.0,0.15
Action,Microsoft Game Studios,133864,42151.0,8.089999999999998,3.159999999999999,0.38,0.8100000000000003,12.450000000000003
Action,Midas Interactive Entertainment,26945,4010.0,0.0,0.04,0.04,0.0,0.09
Action,Midway Games,208906,54096.0,4.919999999999999,1.8500000000000008,0.0,0.5700000000000002,7.349999999999997
Action,Minato Station,15267,2012.0,0.0,0.0,0.02,0.0,0.02
Action,Mindscape,43529,8035.0,0.27999999999999997,0.05,0.0,0.03,0.38
Action,Mycom,15870,1985.0,0.0,0.0,0.02,0.0,0.02
Action,Mystique,2518,1981.0,0.76,0.05,0.0,0.01,0.82
Action,NCSoft,693,2012.0,0.95,1.06,0.0,0.29,2.3
Action,Namco Bandai Games,2735276,496595.0,8.749999999999993,5.1399999999999935,21.099999999999984,1.8200000000000007,36.90000000000008
Action,Neko Entertainment,15721,2010.0,0.0,0.01,0.0,0.0,0.02
Action,NetRevo,16303,2012.0,0.0,0.0,0.01,0.0,0.01
Action,NewKidCo,29683,4004.0,0.05,0.01,0.0,0.0,0.060000000000000005
Action,Nihon Falcom Corporation,15349,4024.0,0.15,0.01,0.24000000000000002,0.04,0.43
Action,Nintendo,359543,156516.0,63.49000000000001,29.020000000000017,29.23999999999999,6.4799999999999915,128.17999999999995
Action,Nippon Columbia,38557,8056.0,0.0,0.0,0.53,0.0,0.53
Action,Nippon Ichi Software,154039,26182.0,0.48,0.15000000000000002,0.56,0.14,1.32
